index,class_id,binomial_name,common_name,country,continent,genus,family,snake_sub_family,poisonous
0,110,Carphophis amoenus,Common Worm Snake,United States of America,North America,Carphophis,Colubridae,Carphophis amoenus,0
1,111,Carphophis vermis,Western Worm Snake,United States of America,North America,Carphophis,Colubridae,Carphophis vermis,0
2,113,Causus rhombeatus,Rhombic Night Adder,South Africa,Africa,Causus,Viperidae,Causus rhombeatus,1
3,114,Cemophora coccinea,Scarlet Snake,United States of America,North America,Cemophora,Colubridae,Cemophora coccinea,0
4,122,Charina bottae,Rubber Boa,United States of America,North America,Charina,Boidae,Charina bottae,0
5,135,Chrysopelea ornata,Ornate Flying Snake,unknown,unknown,Chrysopelea,Colubridae,Chrysopelea ornata,0
6,140,Clonophis kirtlandii,Kirtland's Snake,United States of America,North America,Clonophis,Colubridae,Clonophis kirtlandii,0
7,155,Contia tenuis,Sharp-tailed Snake,United States of America,North America,Contia,Colubridae,Contia tenuis,0
8,158,Corallus caninus,Emerald Tree Boa,unknown,unknown,Corallus,Boidae,Corallus caninus,0
9,159,Corallus hortulanus,Amazon Tree Boa,Ecuador,South America,Corallus,Boidae,Corallus hortulanus,0
10,162,Coronella girondica,Southern Smooth Snake,Spain,Europe,Coronella,Colubridae,Coronella girondica,0
11,163,Crotalus adamanteus,Eastern Diamondback Rattlesnake,United States of America,North America,Crotalus,Viperidae,Crotalus adamanteus,1
12,165,Crotalus atrox,Western Diamondback Rattlesnake,Mexico,North America,Crotalus,Viperidae,Crotalus atrox,1
13,168,Crotalus cerastes,Sidewinder,United States of America,North America,Crotalus,Viperidae,Crotalus cerastes,1
14,169,Crotalus cerberus,Arizona Black Rattlesnake,United States of America,North America,Crotalus,Viperidae,Crotalus cerberus,1
15,175,Crotalus lepidus,Rock Rattlesnake,Mexico,North America,Crotalus,Viperidae,Crotalus lepidus,1
16,177,Crotalus molossus,Black-tailed Rattlesnake,unknown,unknown,Crotalus,Viperidae,Crotalus molossus,1
17,18,Agkistrodon contortrix,Copperhead,United States of America,North America,Agkistrodon,Viperidae,Agkistrodon contortrix,1
18,180,Crotalus ornatus,Ornate Black-tailed Rattlesnake,United States of America,North America,Crotalus,Viperidae,Crotalus ornatus,1
19,185,Crotalus ruber,Red Diamond Rattlesnake,United States of America,North America,Crotalus,Viperidae,Crotalus ruber,1
20,186,Crotalus scutulatus,Mojave Rattlesnake,United States of America,North America,Crotalus,Viperidae,Crotalus scutulatus,1
21,188,Crotalus stephensi,Panamint Rattlesnake,United States of America,North America,Crotalus,Viperidae,Crotalus stephensi,1
22,189,Crotalus tigris,Tiger Rattlesnake,United States of America,North America,Crotalus,Viperidae,Crotalus tigris,1
23,191,Crotalus triseriatus,Mexican Dusky Rattlesnake,Mexico,North America,Crotalus,Viperidae,Crotalus triseriatus,1
24,193,Crotalus viridis,Prairie Rattlesnake,United States of America,North America,Crotalus,Viperidae,Crotalus viridis,1
25,195,Crotaphopeltis hotamboeia,Red-lipped Snake,South Africa,Africa,Crotaphopeltis,Colubridae,Crotaphopeltis hotamboeia,0
26,20,Agkistrodon piscivorus,Cottonmouth,United States of America,North America,Agkistrodon,Viperidae,Agkistrodon piscivorus,1
27,203,Daboia russelii,Russell's Viper,India,Asia,Daboia,Viperidae,Daboia russelii,1
28,215,Dendrelaphis pictus,Painted Bronzeback,Indonesia,Asia,Dendrelaphis,Colubridae,Dendrelaphis pictus,0
29,216,Dendrelaphis punctulatus,Green Tree Snake,Australia,Australia,Dendrelaphis,Colubridae,Dendrelaphis punctulatus,0
30,220,Dendroaspis polylepis,Black Mamba,South Africa,Africa,Dendroaspis,Elapidae,Dendroaspis polylepis,1
31,226,Diadophis punctatus,Ring-necked Snake,United States of America,North America,Diadophis,Colubridae,Diadophis punctatus,0
32,238,Drymarchon couperi,Eastern Indigo Snake,unknown,unknown,Drymarchon,Colubridae,Drymarchon couperi,0
33,25,Ahaetulla nasuta,Long-nosed Whip Snake,India,Asia,Ahaetulla,Colubridae,Ahaetulla nasuta,0
